w-full src,font-bold,text-sm,mx-2,hidden,text-sm href,text-sm (2),text-sm (3),text-red-500,text-lg
https://media-cdn.factba.se/realdonaldtrump-twitter/822507434396753921.jpg,Donald Trump,@realDonaldTrump,•,"January 20, 2017 @ 1:13 PM ET",https://x.com/realdonaldtrump/status/822507434396753921,View on X,"TO ALL AMERICANS🇺🇸
 https://www.facebook.com/DonaldTrump/posts/10158510987625725 …",,
https://media-cdn.factba.se/realdonaldtrump-twitter/822504142178500608.jpg,Donald Trump,@realDonaldTrump,•,"January 20, 2017 @ 1:00 PM ET",https://x.com/realdonaldtrump/status/822504142178500608,View on X,"So to all Americans, in every city near and far, small and large, from mountain to mountain... https://www.facebook.com/DonaldTrump/posts/10158510880180725 …",,
https://media-cdn.factba.se/realdonaldtrump-twitter/822503558369181697.jpg,Donald Trump,@realDonaldTrump,•,"January 20, 2017 @ 12:58 PM ET",https://x.com/realdonaldtrump/status/822503558369181697,View on X,It is time to remember that... https://www.facebook.com/DonaldTrump/posts/10158510858055725 …,,
https://media-cdn.factba.se/realdonaldtrump-twitter/822502887477673984.jpg,Donald Trump,@realDonaldTrump,•,"January 20, 2017 @ 12:55 PM ET",https://x.com/realdonaldtrump/status/822502887477673984,View on X,"We will follow two simple rules: BUY AMERICAN & HIRE AMERICAN!
#InaugurationDay #MAGA🇺🇸",,
https://media-cdn.factba.se/realdonaldtrump-twitter/822502601304526848.jpg,Donald Trump,@realDonaldTrump,•,"January 20, 2017 @ 12:54 PM ET",https://x.com/realdonaldtrump/status/822502601304526848,View on X,We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!,,
https://media-cdn.factba.se/realdonaldtrump-twitter/822502450007515137.jpg,Donald Trump,@realDonaldTrump,•,"January 20, 2017 @ 12:54 PM ET",https://x.com/realdonaldtrump/status/822502450007515137,View on X,"The forgotten men and women of our country will be forgotten no longer. From this moment on, it’s going to be #AmericaFirst🇺🇸",,
https://media-cdn.factba.se/realdonaldtrump-twitter/822502270503972872.jpg,Donald Trump,@realDonaldTrump,•,"January 20, 2017 @ 12:53 PM ET",https://x.com/realdonaldtrump/status/822502270503972872,View on X,"January 20th 2017, will be remembered as the day the people became the rulers of this nation again.",,
https://media-cdn.factba.se/realdonaldtrump-twitter/822502135233384448.jpg,Donald Trump,@realDonaldTrump,•,"January 20, 2017 @ 12:52 PM ET",https://x.com/realdonaldtrump/status/822502135233384448,View on X,"What truly matters is not which party controls our government, but whether our government is controlled by the people.",,
https://media-cdn.factba.se/realdonaldtrump-twitter/822501939267141634.jpg,Donald Trump,@realDonaldTrump,•,"January 20, 2017 @ 12:51 PM ET",https://x.com/realdonaldtrump/status/822501939267141634,View on X,"power from Washington, D.C. and giving it back to you, the American People. #InaugurationDay",,
https://media-cdn.factba.se/realdonaldtrump-twitter/822501803615014918.jpg,Donald Trump,@realDonaldTrump,•,"January 20, 2017 @ 12:51 PM ET",https://x.com/realdonaldtrump/status/822501803615014918,View on X,"Today we are not merely transferring power from one Administration to another, or from one party to another – but we are transferring...",,
https://media-cdn.factba.se/realdonaldtrump-twitter/822421390125043713.jpg,Donald Trump,@realDonaldTrump,•,"January 20, 2017 @ 7:31 AM ET",https://x.com/realdonaldtrump/status/822421390125043713,View on X,It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!,,
https://media-cdn.factba.se/realdonaldtrump-twitter/822298747421986828.jpg,Donald Trump,@realDonaldTrump,•,"January 19, 2017 @ 11:24 PM ET",https://x.com/realdonaldtrump/status/822298747421986828,View on X,"Thank you for a wonderful evening in Washington, D.C. #Inauguration pic.twitter.com/a6xpFQTHj5",,
https://media-cdn.factba.se/realdonaldtrump-twitter/822242449053614081.jpg,Donald Trump,@realDonaldTrump,•,"January 19, 2017 @ 7:40 PM ET",https://x.com/realdonaldtrump/status/822242449053614081,View on X,"Thank you for joining us at the Lincoln Memorial tonight- a very special evening! Together, we are going to MAKE AMERICA GREAT AGAIN! pic.twitter.com/5d774OCx5o",,
https://media-cdn.factba.se/realdonaldtrump-twitter/822177206633955328.jpg,Donald Trump,@realDonaldTrump,•,"January 19, 2017 @ 3:21 PM ET",https://x.com/realdonaldtrump/status/822177206633955328,View on X,"Join me at 4pm over at the Lincoln Memorial with my family!
#Inauguration2017 https://twitter.com/trumpinaugural/status/822161617425203203 …",,
https://media-cdn.factba.se/realdonaldtrump-twitter/822176438627536897.jpg,Donald Trump,@realDonaldTrump,•,"January 19, 2017 @ 3:18 PM ET",https://x.com/realdonaldtrump/status/822176438627536897,View on X,Great Concert at 4:00 P.M. today at Lincoln Memorial. Enjoy!,,
https://media-cdn.factba.se/realdonaldtrump-twitter/822175285151928320.jpg,Donald Trump,@realDonaldTrump,•,"January 19, 2017 @ 3:13 PM ET",https://x.com/realdonaldtrump/status/822175285151928320,View on X,On my way! #Inauguration2017 https://twitter.com/trumpinaugural/status/822142520473829377 …,,
https://media-cdn.factba.se/realdonaldtrump-twitter/822066653953458177.jpg,Donald Trump,@realDonaldTrump,•,"January 19, 2017 @ 8:02 AM ET",https://x.com/realdonaldtrump/status/822066653953458177,View on X,"the American people. I have no doubt that we will, together, MAKE AMERICA GREAT AGAIN!",,
